Date,High,Low,Open,Close,Volume,Adj Close
2018-01-02,1583.3800048828125,1573.760009765625,1577.0799560546875,1579.8199462890625,0.0,1579.8199462890625
2018-01-03,1591.0999755859375,1577.6099853515625,1580.2099609375,1587.56005859375,0.0,1587.56005859375
2018-01-04,1606.7099609375,1587.8800048828125,1587.8800048828125,1603.6700439453125,0.0,1603.6700439453125
2018-01-05,1611.31005859375,1604.0799560546875,1604.0799560546875,1611.31005859375,0.0,1611.31005859375
2018-01-08,1622.4100341796875,1612.97998046875,1612.97998046875,1619.1300048828125,0.0,1619.1300048828125
2018-01-09,1633.9599609375,1618.9000244140625,1618.9000244140625,1632.2900390625,0.0,1632.2900390625
2018-01-10,1631.9100341796875,1621.8499755859375,1631.780029296875,1629.2900390625,0.0,1629.2900390625
2018-01-11,1632.9000244140625,1620.52001953125,1629.75,1630.2900390625,0.0,1630.2900390625
2018-01-12,1634.5799560546875,1621.239990234375,1630.989990234375,1628.4000244140625,0.0,1628.4000244140625
2018-01-15,1630.219970703125,1622.9300537109375,1628.4000244140625,1627.2900390625,0.0,1627.2900390625
2018-01-16,1630.010009765625,1620.4599609375,1626.800048828125,1623.3299560546875,0.0,1623.3299560546875
2018-01-17,1629.6700439453125,1614.4599609375,1623.050048828125,1622.8499755859375,0.0,1622.8499755859375
2018-01-18,1630.5400390625,1619.8800048828125,1623.18994140625,1624.780029296875,0.0,1624.780029296875
2018-01-19,1631.6300048828125,1623.6300048828125,1624.1199951171875,1630.6199951171875,0.0,1630.6199951171875
2018-01-22,1639.050048828125,1628.699951171875,1631.1500244140625,1635.469970703125,0.0,1635.469970703125
2018-01-23,1647.68994140625,1636.77001953125,1636.77001953125,1643.7099609375,0.0,1643.7099609375
2018-01-24,1645.06005859375,1629.97998046875,1644.239990234375,1631.199951171875,0.0,1631.199951171875
2018-01-25,1630.0,1600.8900146484375,1630.0,1604.489990234375,0.0,1604.489990234375
2018-01-26,1614.5999755859375,1601.72998046875,1606.6099853515625,1612.6300048828125,0.0,1612.6300048828125
2018-01-29,1620.4599609375,1608.510009765625,1611.9000244140625,1610.4000244140625,0.0,1610.4000244140625
2018-01-30,1612.239990234375,1602.2900390625,1609.699951171875,1603.31005859375,0.0,1603.31005859375
2018-01-31,1613.1600341796875,1592.3900146484375,1605.4300537109375,1593.1500244140625,0.0,1593.1500244140625
2018-02-01,1610.27001953125,1596.0,1596.0,1601.8399658203125,0.0,1601.8399658203125
2018-02-02,1602.02001953125,1581.0400390625,1601.77001953125,1584.7900390625,0.0,1584.7900390625
2018-02-05,1581.68994140625,1545.56005859375,1581.68994140625,1546.3299560546875,0.0,1546.3299560546875
2018-02-06,1535.280029296875,1487.949951171875,1535.280029296875,1511.5999755859375,0.0,1511.5999755859375
2018-02-07,1555.2900390625,1513.5699462890625,1513.5699462890625,1551.1500244140625,0.0,1551.1500244140625
2018-02-08,1550.43994140625,1519.77001953125,1550.43994140625,1519.77001953125,0.0,1519.77001953125
2018-02-09,1523.449951171875,1499.739990234375,1518.68994140625,1500.1800537109375,0.0,1500.1800537109375
2018-02-12,1531.8599853515625,1501.5,1501.5,1521.6199951171875,0.0,1521.6199951171875
